#group,false,false,false,false
#datatype,double,string,dateTime:RFC3339,string
#default,,,,
,confidence,location,time,type
,64,Zone 1,2025-05-06T16:46:07.888462Z,Plastic
,68,Zone 1,2025-05-06T16:46:11.925512Z,metal
,86,Zone 1,2025-05-06T16:46:20.3949Z,metal
,60,Zone 1,2025-05-06T16:46:29.108945Z,metal
,78,Zone 1,2025-05-06T16:46:41.590088Z,Plastic
,64,Zone 1,2025-05-06T16:46:46.891314Z,Plastic
,68,Zone 1,2025-05-06T15:39:28.316351Z,Biological
,88,Zone 1,2025-05-06T15:39:37.585982Z,Plastic
,86,Zone 1,2025-05-06T15:39:47.208804Z,Biological
,75,Zone 1,2025-05-06T15:39:52.77658Z,Plastic
,77,Zone 1,2025-05-06T15:39:58.845339Z,Plastic
,66,Zone 1,2025-05-06T15:40:09.109808Z,Plastic
,73,Zone 1,2025-05-06T15:41:23.854531Z,Plastic
,75,Zone 1,2025-05-06T15:41:26.728805Z,Plastic
,91,Zone 1,2025-05-06T15:41:39.714293Z,Plastic
,92,Zone 1,2025-05-06T15:41:48.193363Z,Plastic
,77,Zone 1,2025-05-06T15:41:53.20468Z,Plastic
,68,Zone 1,2025-05-06T15:42:34.725572Z,Plastic
,70,Zone 1,2025-05-06T15:43:10.108871Z,metal
,65,Zone 1,2025-05-06T15:50:46.675073Z,Plastic
,81,Zone 1,2025-05-06T15:50:59.433932Z,Plastic
,68,Zone 1,2025-05-06T15:51:08.785396Z,Plastic
,65,Zone 1,2025-05-06T15:51:16.974073Z,Plastic
,74,Zone 1,2025-05-06T15:51:29.543783Z,Plastic
,82,Zone 1,2025-05-06T15:51:34.683282Z,Biological
,65,Zone 1,2025-05-06T15:52:18.826879Z,Biological
,82,Zone 1,2025-05-06T15:52:22.043842Z,Plastic
,80,Zone 1,2025-05-06T15:52:23.718064Z,Plastic
,88,Zone 1,2025-05-06T15:52:59.728103Z,Plastic
,92,Zone 1,2025-05-06T15:53:04.765516Z,Plastic
,94,Zone 1,2025-05-06T15:53:21.364158Z,Plastic
,73,Zone 1,2025-05-06T15:53:23.805711Z,Plastic
,75,Zone 1,2025-05-06T15:53:26.167401Z,Plastic
,68,Zone 1,2025-05-06T15:54:29.264238Z,Biological
,78,Zone 1,2025-05-06T15:54:59.780334Z,Plastic
,82,Zone 1,2025-05-06T15:55:01.00284Z,Plastic
,79,Zone 1,2025-05-06T16:00:09.63483Z,Plastic
,94,Zone 1,2025-05-06T16:00:14.223882Z,Plastic
,80,Zone 1,2025-05-06T16:00:28.7232Z,Plastic
,89,Zone 1,2025-05-06T16:00:32.871175Z,Plastic
,64,Zone 1,2025-05-06T16:00:35.275579Z,Plastic
,73,Zone 1,2025-05-06T16:00:46.26224Z,Plastic
,66,Zone 1,2025-05-06T16:01:19.895931Z,Plastic
,73,Zone 1,2025-05-06T16:02:22.36181Z,Plastic
,66,Zone 1,2025-05-06T16:02:37.693614Z,Biological
,77,Zone 1,2025-05-06T16:25:44.159909Z,Plastic
,89,Zone 1,2025-05-06T16:25:47.0288Z,Plastic
,60,Zone 1,2025-05-06T16:26:09.793969Z,Plastic
,62,Zone 1,2025-05-06T16:26:14.570768Z,metal
,76,Zone 1,2025-05-06T16:26:29.006922Z,metal
,69,Zone 1,2025-05-06T16:26:41.151098Z,Plastic
,66,Zone 1,2025-05-06T16:26:48.089882Z,Plastic
,92,Zone 1,2025-05-06T16:27:30.856814Z,Plastic
,93,Zone 1,2025-05-06T16:27:35.449654Z,Plastic
,61,Zone 1,2025-05-06T16:27:40.663514Z,Plastic
,89,Zone 1,2025-05-06T16:28:20.761594Z,Plastic
,78,Zone 1,2025-05-06T16:36:25.999376Z,Plastic
,78,Zone 1,2025-05-06T16:36:30.06277Z,Plastic
,65,Zone 1,2025-05-06T16:36:59.474687Z,metal
,89,Zone 1,2025-05-06T16:37:00.669065Z,metal
,87,Zone 1,2025-05-06T16:37:01.793996Z,metal
,68,Zone 1,2025-05-06T16:37:09.926621Z,Plastic
,72,Zone 1,2025-05-06T16:37:12.504041Z,Plastic
,70,Zone 1,2025-05-06T16:37:13.625827Z,Plastic
,66,Zone 1,2025-05-06T16:38:39.06354Z,Biological
,76,Zone 1,2025-05-06T16:38:45.877541Z,Plastic
,80,Zone 1,2025-05-06T16:38:50.957162Z,Plastic
